0.02 J -0.007 -0.006 -0.011 -0.014
0.04 J -0.014 -0.014 -0.023 -0.029
0.06 J -0.020 -0.020 -0.034 -0.042
0.08 J -0.025 -0.024 -0.044 -0.054
0.10 J -0.028 -0.027 -0.052 -0.065
0.12 J -0.030 -0.029 -0.058 -0.074
0.16 J -0.032 -0.030 -0.068 -0.089
0.20 J -0.030 -0.028 -0.074 -0.100
0.24 J -0.029 -0.026 -0.081 -0.112
0.28 J -0.022 -0.019 -0.082 -0.118
0.32 J -0.015 -0.013 -0.083 -0.123
0.36 J -0.007 -0.004 -0.082 -0.127
0.40 J -0.002 -0.002 -0.085 -0.135
0.44 J  0.005  0.008 -0.087 -0.142
0.48 J  0.015  0.018 -0.086 -0.146
0.52 J  0.035  0.039 -0.074 -0.140
0.60 J  0.064  0.069 -0.062 -0.140
0.68 J  0.104  0.109 -0.041 -0.132
0.76 J  0.151  0.157 -0.009 -0.113
0.84 J  0.201  0.207  0.024 -0.095
0.92 J  0.237  0.243  0.049 -0.085
1.00 J  0.283  0.289  0.084 -0.066
1.10 J  0.348  0.354  0.135 -0.038
1.20 J  0.415  0.419  0.188 -0.010
1.30 J  0.498  0.503  0.257  0.031
1.40 J  0.584  0.588  0.328  0.070
1.50 J  0.681  0.684  0.407  0.114
1.60 J  0.775  0.788  0.484  0.155
1.70 J  0.882  0.884  0.572  0.203
1.80 J  1.037  1.038  0.700  0.274
1.90 J  1.221  1.222  0.851  0.365
2.00 J  1.440  1.440  1.030  0.480
2.10 J  1.656  1.655  1.206  0.595
2.20 J  1.856  1.854  1.372  0.710
2.30 J  2.067  2.064  1.545  0.834
2.40 J  2.242  2.237  1.691  0.944
2.50 J  2.325  2.320  1.769  1.013
3.00 J  2.889  2.881  2.169  1.154
0.02 H -0.002 -0.002 -0.005 -0.008
0.04 H -0.003 -0.003 -0.011 -0.017
0.06 H -0.003 -0.003 -0.016 -0.024
0.08 H -0.004 -0.003 -0.021 -0.032
0.10 H -0.006 -0.005 -0.027 -0.041
0.12 H -0.009 -0.008 -0.035 -0.052
0.16 H -0.019 -0.017 -0.053 -0.076
0.20 H -0.031 -0.029 -0.074 -0.101
0.24 H -0.049 -0.046 -0.099 -0.131
0.28 H -0.065 -0.062 -0.123 -0.159
0.32 H -0.078 -0.075 -0.143 -0.183
0.36 H -0.089 -0.086 -0.162 -0.206
0.40 H -0.100 -0.097 -0.180 -0.228
0.44 H -0.108 -0.104 -0.194 -0.247
0.48 H -0.112 -0.108 -0.206 -0.263
0.52 H -0.114 -0.110 -0.214 -0.275
0.60 H -0.111 -0.106 -0.224 -0.292
0.68 H -0.108 -0.102 -0.232 -0.307
0.76 H -0.098 -0.092 -0.234 -0.316
0.84 H -0.087 -0.081 -0.234 -0.322
0.92 H -0.076 -0.070 -0.236 -0.332
1.00 H -0.059 -0.053 -0.233 -0.337
1.10 H -0.028 -0.020 -0.217 -0.333
1.20 H  0.007  0.015 -0.200 -0.328
1.30 H  0.048  0.057 -0.175 -0.315
1.40 H  0.093  0.102 -0.144 -0.297
1.50 H  0.139  0.147 -0.113 -0.280
1.60 H  0.173  0.182 -0.088 -0.269
1.70 H  0.214  0.222 -0.056 -0.254
1.80 H  0.260  0.268 -0.021 -0.235
1.90 H  0.314  0.322  0.024 -0.211
2.00 H  0.381  0.389  0.078 -0.178
2.10 H  0.442  0.449  0.128 -0.148
2.20 H  0.505  0.512  0.180 -0.119
2.30 H  0.569  0.576  0.232 -0.091
2.40 H  0.636  0.643  0.287 -0.064
2.50 H  0.711  0.717  0.349 -0.028
3.00 H  1.383  1.386  0.896  0.287
0.02 K -0.030 -0.030 -0.032 -0.033
0.04 K -0.059 -0.059 -0.063 -0.064
0.06 K -0.083 -0.083 -0.089 -0.091
0.08 K -0.105 -0.104 -0.112 -0.114
0.10 K -0.123 -0.123 -0.131 -0.134
0.12 K -0.139 -0.139 -0.149 -0.152
0.16 K -0.170 -0.169 -0.181 -0.185
0.20 K -0.195 -0.195 -0.208 -0.213
0.24 K -0.216 -0.215 -0.231 -0.238
0.28 K -0.231 -0.230 -0.250 -0.259
0.32 K -0.236 -0.236 -0.259 -0.271
0.36 K -0.243 -0.243 -0.271 -0.288
0.40 K -0.247 -0.247 -0.281 -0.301
0.44 K -0.244 -0.244 -0.285 -0.309
0.48 K -0.246 -0.245 -0.294 -0.322
0.52 K -0.250 -0.249 -0.304 -0.337
0.60 K -0.267 -0.265 -0.334 -0.375
0.68 K -0.292 -0.289 -0.371 -0.418
0.76 K -0.313 -0.310 -0.403 -0.456
0.84 K -0.331 -0.328 -0.432 -0.491
0.92 K -0.345 -0.341 -0.456 -0.521
1.00 K -0.352 -0.348 -0.473 -0.544
1.10 K -0.353 -0.348 -0.486 -0.565
1.20 K -0.349 -0.344 -0.493 -0.578
1.30 K -0.343 -0.338 -0.498 -0.590
1.40 K -0.335 -0.330 -0.501 -0.599
1.50 K -0.324 -0.318 -0.500 -0.605
1.60 K -0.312 -0.306 -0.500 -0.612
1.70 K -0.297 -0.290 -0.497 -0.617
1.80 K -0.272 -0.265 -0.485 -0.613
1.90 K -0.249 -0.241 -0.474 -0.611
2.00 K -0.219 -0.211 -0.457 -0.604
2.10 K -0.190 -0.182 -0.440 -0.595
2.20 K -0.155 -0.146 -0.415 -0.580
2.30 K -0.120 -0.111 -0.391 -0.566
2.40 K -0.092 -0.084 -0.372 -0.558
2.50 K -0.065 -0.057 -0.352 -0.548
3.00 K  0.123  0.131 -0.203 -0.467
0.02 g  0.046  0.046  0.038  0.022
0.04 g  0.093  0.092  0.076  0.043
0.06 g  0.140  0.139  0.114  0.065
0.08 g  0.186  0.185  0.153  0.085
0.10 g  0.235  0.233  0.192  0.107
0.12 g  0.288  0.286  0.236  0.131
0.16 g  0.416  0.414  0.342  0.190
0.20 g  0.581  0.578  0.479  0.272
0.24 g  0.767  0.764  0.633  0.371
0.28 g  0.961  0.957  0.792  0.475
0.32 g  1.154  1.149  0.950  0.581
0.36 g  1.350  1.344  1.111  0.691
0.40 g  1.530  1.522  1.258  0.795
0.44 g  1.663  1.655  1.372  0.883
0.48 g  1.768  1.760  1.462  0.949
0.52 g  1.874  1.865  1.545  0.996
0.60 g  2.080  2.069  1.692  1.049
0.68 g  2.335  2.324  1.864  1.095
0.76 g  2.664  2.650  2.060  1.138
0.84 g  3.068  3.052  2.273  1.178
0.92 g  3.504  3.484  2.464  1.203
1.00 g  3.868  3.843  2.581  1.197
1.10 g  4.284  4.250  2.664  1.163
1.20 g  4.685  4.638  2.703  1.116
1.30 g  4.942  4.880  2.692  1.058
1.40 g  5.097  5.021  2.657  0.995
1.50 g  5.286  5.192  2.633  0.945
1.60 g  5.539  5.416  2.615  0.901
1.70 g  5.795  5.637  2.593  0.858
1.80 g  6.010  5.816  2.571  0.821
1.90 g  6.199  5.959  2.545  0.786
2.00 g  6.358  6.075  2.520  0.753
2.10 g  6.488  6.161  2.485  0.712
2.20 g  6.610  6.237  2.451  0.674
2.30 g  6.710  6.296  2.421  0.641
2.40 g  6.764  6.318  2.383  0.601
2.50 g  6.794  6.322  2.341  0.556
3.00 g  6.909  6.335  2.183  0.393
0.02 r  0.021  0.020  0.015  0.008
0.04 r  0.050  0.050  0.036  0.020
0.06 r  0.065  0.064  0.046  0.023
0.08 r  0.079  0.078  0.056  0.026
0.10 r  0.102  0.101  0.073  0.035
0.12 r  0.123  0.123  0.090  0.044
0.16 r  0.171  0.170  0.129  0.065
0.20 r  0.246  0.245  0.190  0.104
0.24 r  0.300  0.299  0.234  0.128
0.28 r  0.361  0.359  0.283  0.157
0.32 r  0.416  0.414  0.329  0.181
0.36 r  0.470  0.468  0.373  0.202
0.40 r  0.541  0.538  0.432  0.234
0.44 r  0.651  0.647  0.521  0.285
0.48 r  0.747  0.744  0.600  0.328
0.52 r  0.855  0.851  0.688  0.376
0.60 r  1.148  1.143  0.928  0.519
0.68 r  1.455  1.449  1.186  0.701
0.76 r  1.763  1.754  1.442  0.890
0.84 r  1.936  1.926  1.592  1.010
0.92 r  2.159  2.148  1.765  1.107
1.00 r  2.294  2.282  1.873  1.167
1.10 r  2.523  2.510  2.032  1.219
1.20 r  2.844  2.830  2.241  1.278
1.30 r  3.165  3.148  2.427  1.317
1.40 r  3.496  3.478  2.598  1.343
1.50 r  3.950  3.927  2.784  1.365
1.60 r  4.308  4.280  2.901  1.365
1.70 r  4.781  4.744  3.006  1.349
1.80 r  4.776  4.734  2.953  1.284
1.90 r  5.133  5.079  2.980  1.242
2.00 r  5.319  0.253  2.967  1.196
2.10 r  5.473  5.395  2.951  1.154
2.20 r  5.709  5.601  2.949  1.123
2.30 r  5.857  5.743  2.933  1.092
2.40 r  5.992  5.858  2.909  1.054
2.50 r  6.182  6.019  2.887  1.018
3.00 r  6.888  6.558  2.804  0.897
0.02 i  0.018  0.018  0.010  0.005
0.04 i  0.032  0.033  0.018  0.007
0.06 i  0.047  0.048  0.025  0.009
0.08 i  0.063  0.064  0.034  0.013
0.10 i  0.079  0.080  0.043  0.018
0.12 i  0.095  0.097  0.054  0.024
0.16 i  0.133  0.135  0.080  0.039
0.20 i  0.169  0.170  0.106  0.052
0.24 i  0.200  0.201  0.127  0.062
0.28 i  0.233  0.234  0.152  0.074
0.32 i  0.270  0.271  0.181  0.090
0.36 i  0.311  0.312  0.214  0.108
0.40 i  0.364  0.365  0.257  0.133
0.44 i  0.419  0.419  0.302  0.159
0.48 i  0.469  0.469  0.343  0.183
0.52 i  0.516  0.516  0.382  0.205
0.60 i  0.614  0.613  0.461  0.244
0.68 i  0.748  0.747  0.572  0.307
0.76 i  0.920  0.918  0.712  0.384
0.84 i  1.135  1.132  0.889  0.485
0.92 i  1.405  1.401  1.109  0.622
1.00 i  1.663  1.658  1.329  0.781
1.10 i  1.957  1.951  1.573  0.963
1.20 i  2.179  2.171  1.756  1.095
1.30 i  2.340  2.330  1.889  1.179
1.40 i  2.512  2.502  2.015  1.230
1.50 i  2.712  2.701  2.151  1.270
1.60 i  2.987  2.975  2.331  1.322
1.70 i  3.272  3.258  2.496  1.357
1.80 i  3.572  3.556  2.651  1.382
1.90 i  3.914  3.895  2.806  1.403
2.00 i  4.261  4.238  2.935  1.414
2.10 i  4.584  4.556  3.026  1.406
2.20 i  4.848  4.813  3.069  1.380
2.30 i  5.067  5.025  3.083  1.343
2.40 i  5.238  5.188  3.074  1.297
2.50 i  5.388  5.329  3.062  1.257
3.00 i  6.137  6.007  3.005  1.104
